1,해리 포터와 마법사의 돌 1,조앤 K. 롤링,11250,문학수첩
2,해리 포터와 마법사의 돌 2,조앤 K. 롤링,11250,문학수첩
3,해리포터 퀴즈북 (해리포터 팬이라면 꼭 풀어야 할),폴더콘텐츠연구소 FolderContentsLAB,9000,폴더
4,해리 포터와 비밀의 방,조앤 K. 롤링,23850,문학수첩
5,해리 포터와 죽음의 성물 2,조앤 K. 롤링,23850,문학수첩
6,해리 포터와 불의 잔 1,조앤 K. 롤링,23850,문학수첩
7,해리 포터와 불의 잔 2,조앤 K. 롤링,23850,문학수첩
8,해리 포터와 불의 잔 1,조앤 K. 롤링,11700,문학수첩
9,해리 포터 마법 연감 (J.K. 롤링의 해리 포터 관련 공식 마법 책),조앤 K. 롤링,31500,문학수첩
10,해리 포터와 불의 잔 4,조앤 K. 롤링,11700,문학수첩
11,해리 포터 시리즈 세트(1~4) (『마법사의 돌』+ 『비밀의 방』+ 『아즈카반의 죄수』+ 『불의 잔』),조앤 K. 롤링,112600,문학수첩
12,해리 포터와 죽음의 성물 4,조앤 K. 롤링,11700,문학수첩
13,해리 포터와 비밀의 방 1,조앤 K. 롤링,11250,문학수첩
14,해리 포터와 혼혈 왕자 1,조앤 K. 롤링,23850,문학수첩
15,해리 포터와 불의 잔 3,조앤 K. 롤링,11700,문학수첩
16,해리 포터와 불의 잔 2,조앤 K. 롤링,11700,문학수첩
17,해리 포터 시리즈 세트(5~7) (『불사조 기사단』+『혼혈 왕자』+『죽음의 성물』),조앤 K. 롤링,144490,문학수첩
18,해리 포터와 혼혈 왕자 2,조앤 K. 롤링,23850,문학수첩
19,해리 포터와 비밀의 방 2,조앤 K. 롤링,11250,문학수첩
20,해리 포터와 죽음의 성물 1,조앤 K. 롤링,23850,문학수첩
21,해리 포터와 혼혈 왕자 3,조앤 K. 롤링,11700,문학수첩
22,해리 포터와 혼혈 왕자 4,조앤 K. 롤링,11700,문학수첩
23,해리 포터와 혼혈 왕자 1,조앤 K. 롤링,11700,문학수첩
24,해리 포터와 불의 잔(인터랙티브 에디션),조앤 K. 롤링,49500,문학수첩
25,해리 포터와 혼혈 왕자 2,조앤 K. 롤링,11700,문학수첩
26,해리포터 영단어장 1,David Na,19800,부크크(bookk)
27,해리 포터와 아즈카반의 죄수,조앤 K. 롤링,24750,문학수첩
28,해리포터 마법 주문 대백과 (비공식 해리포터 가이드북),머글넷,12420,폴더
29,"Harry Potter and the Deathly Hallows (Deluxe Edition, 미국판) (Book 7) 양장 (해리포터 7)",J.K. 롤링,29800,Scholastic
30,Harry Potter and the Deathly Hallows : Book 7 Children’s Edition (해리포터 7),J.K. 롤링,9450,Bloomsbury
31,해리 포터와 불사조 기사단 1,조앤 K. 롤링,27000,문학수첩
32,해리 포터와 죽음의 성물 3,조앤 K. 롤링,11700,문학수첩
33,해리 포터와 불사조 기사단 2,조앤 K. 롤링,27000,문학수첩
34,해리 포터와 죽음의 성물 2,조앤 K. 롤링,11700,문학수첩
35,시밀로 해리포터,한올엠앤씨 편집부,14400,한올엠앤씨
36,해리 포터와 죽음의 성물 1,조앤 K. 롤링,11700,문학수첩
37,해리포터 마법 학교 대백과 (비공식 해리포터 가이드북 시리즈),머글넷,15120,폴더
38,해리 포터 스티커북,Warner Bros Consumer Products,0,아르누보
39,해리 포터와 아즈카반의 죄수 1,조앤 K. 롤링,11700,문학수첩
40,해리 포터와 불사조 기사단 5,조앤 K. 롤링,11700,문학수첩
41,해리 포터와 불사조 기사단 1,조앤 K. 롤링,11700,문학수첩
42,해리 포터와 불사조 기사단 3,조앤 K. 롤링,11700,문학수첩
43,해리 포터와 마법사의 돌 (양장),J.K. 롤링,23850,문학수첩
44,해리 포터와 불사조 기사단 2,조앤 K. 롤링,11700,문학수첩
45,해리 포터와 불사조 기사단 4,조앤 K. 롤링,11700,문학수첩
46,해리 포터와 아즈카반의 죄수 2,조앤 K. 롤링,11700,문학수첩
47,해리 포터와 저주받은 아이 1 (연극대본),조앤 K. 롤링^잭 손^존 티퍼니,11700,문학수첩
48,해리포터 마법 동물 대백과 (비공식 해리포터 가이드북),머글넷,15120,폴더
49,해리 포터와 저주받은 아이 2 (연극대본),조앤 K. 롤링^잭 손^존 티퍼니,11700,문학수첩
50,해리 포터와 아즈카반의 죄수(일러스트 에디션) (해리 포터 시리즈 3),조앤 K. 롤링,29700,문학수첩
51,해리포터 마법 인물 대백과 2 (비공식 해리포터 가이드북),머글넷,12420,폴더
52,해리포터와 저주받은 아이 (연극대본),조앤 K. 롤링^존 티퍼니,25200,문학수첩
53,마법보다 더 큰 진리 (해리포터를 통해 본 복음의 구조),GEEYEONI,16000,부크크(bookk)
54,해리 포터 엽서북 (해리 포터 포스트카드 컬렉션),아르누보 편집부,0,아르누보
55,해리 포터: 마법같은 1년,조앤 K. 롤링,23400,문학수첩리틀북
56,Harry Potter 1-3 Box Set: MinaLima Edition - 해리포터 미나리마 에디션 1~3 박스세트 (해리포터 미나리마 에디션 박스 세트),J.K. 롤링,99000,Bloomsbury Publishing PLC
57,해리 포터와 불의 잔 2 (해리포터 20주년 개정판),조앤 K. 롤링,18900,문학수첩
58,Harry Potter: Always Signature Pop-Up Card [Love/Romance] (해리 포터 팝업 카드),,20590,Insight Editions
59,해리포터 필름볼트 세트 (전12권),조디 리벤슨,164160,문학수첩
60,해리포터 마법 인물 대백과 1 (비공식 해리포터 가이드북 시리즈),머글넷,12420,폴더
61,해리포터 이펙트 (포터헤드가 쓰고 포터헤드가 옮긴 우리 시대의 마법사 이야기),케이트 글래스먼 외 15인,14850,엑스북스(xbooks)
62,스크린으로 옮겨진 마법의 세계 영화 의 모든 것 (영화 〈해리 포터〉의 모든 것),밥 매케이브,56700,문학수첩
63,해리포터 영단어 (직독직해로 배우는),이현구,0,랭귀지북스
64,해리포터: 불의 잔 2 (개정판),J.K. 롤링,0,문학수첩
65,해리포터: 불의 잔 1 (개정판),J.K. 롤링,0,문학수첩
66,해리포터: 불의 잔 4 (개정판),J.K. 롤링,0,문학수첩
67,해리포터: 불의 잔 3 (개정판),J.K. 롤링,0,문학수첩
68,해리 포터 영화 속 공예 마법 (해리 포터 공식 공예품 모음집),조디 리벤슨,22500,문학수첩
69,조앤롤링 (해리포터를 만든),김유리,0,한국톨스토이
70,해리포터 마법 지팡이 세트,조디 리벤슨,18000,문학수첩
71,해리 포터 일력(2023),워너 브라더스,0,아르누보
72,해리포터 빗자루 컬렉션 (영화 속에 나오는),조디 리벤슨,19800,문학수첩
73,Harry Potter: Howler Pop-Up Card (해리 포터 팝업 카드),,20590,Insight Editions
74,Harry Potter: Whomping Willow Pop-Up Card (해리 포터 팝업 카드),,30880,Insight Editions
75,해리포터 어둠의 마법 세트,조디 리벤슨,18000,문학수첩
76,Harry Potter and the Goblet of Fire : Illustrated Edition (영국판) (해리포터 일러스트판),J.K. 롤링,24960,Bloomsbury
77,Harry Potter Official Wizarding World Cookbook (해리 포터: 공식 마법사 세계 요리책),,40000,Quercus Publishing
78,해리포터 종이접기 Vol 2 (영화 속 사진과 종이접기 작품 15점 수록),스콜라스틱 출판사,17100,에밀
79,해리포터 종이접기 Vol 1 (영화 속 사진과 종이접기 15점 수록),스콜라스틱 출판사,17100,에밀
80,해리 포터 다이어리(2024),워너 브라더스,0,아르누보
81,해리포터 사이언스 (과학으로 펼치는 마법의 세계),정창훈^이정모,0,바다출판사
82,해리 포터를 읽는 시간 (나는 해리 포터를 읽으며 어른이 되었다),신순화,13320,북하우스
83,해리 포터와 마법사의 돌 1 (해리포터 20주년 개정판),J. K. 롤링,8100,문학수첩
84,해리포터: 혼혈왕자 2 (개정판),J.K. 롤링,11700,문학수첩
85,Harry Potter Magical Artifacts Colouring Book (영국판) (해리포터 컬러링북),,0,Bonnier Books
86,Harry Potter Books 1-3 Boxed Set: MinaLima Editions - 해리포터 미나리마 에디션 1~3 박스세트 (해리포터 미나리마 에디션 박스 세트),J.K. 롤링,113600,Scholastic
87,2023년 해리 포터 일력,아르누보,22500,아르누보
88,해리포터: 혼혈왕자 4 (개정판),J.K. 롤링,0,문학수첩
89,해리포터: 혼혈왕자 1 (개정판),J.K. 롤링,0,문학수첩
90,해리포터: 비밀의 방 1 (개정판),J.K. 롤링,0,문학수첩
91,해리포터: 비밀의 방 2 (개정판),J.K. 롤링,0,문학수첩
92,해리포터: 혼혈왕자 3 (개정판),J.K. 롤링,0,문학수첩
93,해리 포터와 불의 잔 1 (해리포터 20주년 개정판),J. K. 롤링,19950,문학수첩
94,해리포터 컬러링북,워너 브라더스,0,문학수첩
95,두 번째 아이 (우리가 몰랐던 또 한 명의 ‘해리 포터’ 이야기),다비드 포앙키노스,12600,문학수첩
96,해리 포터와 마법사의 돌 : 미나리마 에디션,J.K. 롤링,34200,문학수첩
97,"(신판)Harry Potter, VII : Harry Potter et les Reliques de la Mort (해리포터 프랑스어판)",Rowling J.K.,0,Gallimard Jeunesse
98,Harry Potter and the Deathly Hallows - Ravenclaw Edition (해리 포터와 죽음의 성물),J.K. 롤링,0,Bloomsbury Publishing PLC
99,Harry Potter and the Deathly Hallows - Gryffindor Edition (해리 포터와 죽음의 성물),J.K. 롤링,0,Bloomsbury Publishing PLC
100,The Harry Potter and the Deathly Hallows - Slytherin Edition (해리 포터와 죽음의 성물),J.K. 롤링,0,Bloomsbury Publishing PLC
101,Harry Potter and the Deathly Hallows - Slytherin Edition (해리 포터와 죽음의 성물),J.K. 롤링,0,Bloomsbury Publishing PLC
102,해리 포터와 불의 잔 : 후플푸프 1 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
103,해리 포터와 불의 잔 : 후플푸프 2 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
104,해리 포터와 불의 잔 : 후플푸프 3 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
105,해리 포터와 불의 잔 : 래번클로 4 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
106,해리 포터와 불의 잔 : 슬리데린 1 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
107,해리 포터와 불의 잔 : 후플푸프 4 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
108,해리 포터와 불의 잔 : 슬리데린 2 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
109,해리 포터와 불의 잔 : 슬리데린 4 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
110,해리 포터와 불의 잔 : 래번클로 3 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
111,해리 포터와 불의 잔 : 래번클로 2 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
112,해리 포터와 불의 잔 : 슬리데린 3 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
113,해리 포터와 불의 잔 : 래번클로 1 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
114,신비한 동물 사전 (해리 포터 스쿨북 2),뉴트 그캐맨더,0,문학수첩리틀북스
115,Harry Potter Spiroglyphics (해리 포터 스파이로글리픽스),토마스 패빗,19590,Thunder Bay Press
116,2024년 해리 포터 다이어리,워너 브라더스 지음,0,아르누보
117,Harry Potter 7. CD MP3 (Triple CD) (해리포터 프랑스어판),,55860,Gallimard
118,Harry Potter 3. CD MP3 (Double CD) (해리포터 프랑스어판),,0,Gallimard
119,해리포터: 마법사의 돌 2 (개정판),J.K. 롤링,11250,문학수첩
120,Harry Potter and the Chamber of Secrets - Slytherin Edition (해리 포터와 비밀의 방),J.K. 롤링,0,Bloomsbury Publishing PLC
121,Harry Potter and the Prisoner of Azkaban : Illustrated Edition (영국판) (해리포터 일러스트판),J.K. 롤링,23000,Bloomsbury
122,해리 포터 탁상 달력(2023),워너 브라더스,0,아르누보
123,Harry Potter and the Chamber of Secrets : Illustrated Edition (영국판) (해리포터 일러스트 판),J.K. 롤링,34400,Bloomsbury
124,Harry Potter 5. Et l’ordre du phenix (해리포터 프랑스어판),"J. K. Rowling^Menard, Jean-Francois",30210,Gallimard
125,Harry Potter I. A l’ecole des sorciers (해리포터 프랑스어판),Joanne K. Rowling,0,Gallimard
126,Harry Potter 4 (해리포터 프랑스어판),Joanne K. Rowling,0,Gallimard
127,Harry Potter 6. CD MP3 (Triple CD MP3) (해리포터 프랑스어판),,0,Gallimard
128,Harry Potter 6. CD MP3 (Double CD MP3) (해리포터 프랑스어판),,55860,Gallimard
129,해리포터: 마법사의 돌 1 (개정판),J.K. 롤링,0,문학수첩
130,해리포터: 죽음의 성물 4 (개정판),J.K. 롤링,0,문학수첩
131,해리포터: 죽음의 성물 3 (개정판),J.K. 롤링,0,문학수첩
132,해리포터: 죽음의 성물 1 (개정판),J.K. 롤링,0,문학수첩
133,해리포터: 죽음의 성물 2 (개정판),J.K. 롤링,0,문학수첩
134,Harry Potter and the Chamber of Secrets: The Illustrated Edition (Illustrated): Volume 2 (해리포터 일러스트판),J.K. 롤링,26500,Arthur A. Levine Books
135,해리 포터와 불의 잔 : 그리핀도르 1 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
136,Harry Potter 2. CD MP3 (Double CD MP3) (해리포터 프랑스어판),,47880,Gallimard
137,Harry Potter 5. CD MP3 (Quadruple CD MP3) (해리포터 프랑스어판),J.K. 롤링,64980,Gallimard
138,Harry Potter 4. CD MP3 (Triple CD MP3) (해리포터 프랑스어판),J.K. 롤링,53960,Gallimard
139,Harry Potter 3. CD MP3 (Double CD MP3) (해리포터 프랑스어판),,0,Gallimard
140,엠마 왓슨이 해리 포터를 고민했다 (Emma Watson Pondered Harry Potter),박찬준,14220,바른북스
141,해리 포터와 불의 잔 : 그리핀도르 2 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
142,해리 포터와 불의 잔 : 그리핀도르 4 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
143,해리 포터와 불의 잔 : 그리핀도르 3 (기숙사 에디션),조앤 K. 롤링,11250,문학수첩
144,해리포터 1편-4편 세트,J.K. 롤링,0,문학수첩
145,"해리 포터 시리즈 1~4권 세트 (전10권, 마법사의 돌 + 비밀의 방 + 아즈카반의 죄수 + 불의 잔)",J.K. 롤링,83700,문학수첩
146,Harry Potter: Hogwarts Pop-Up Holiday Wreath (해리포터: 호그와트 팝업 홀리데이 리스),Insight Editions,33520,Insight Editions
147,Harry Potter and the Philosopher’s Stone : Illustrated Edition (영국판) (해리포터 일러스트판),J.K. 롤링,34900,Bloomsbury
148,해리 포터와 비밀의 방: 래번클로 1 (기숙사 에디션),조앤 K. 롤링,10800,문학수첩
149,해리 포터 영화 속 마법 생명체 팝업 가이드,매튜 레인하트^조디 리벤슨,61600,문학수첩
150,해리 포터와 마법사의 돌 2 (해리포터 20주년 개정판),J. K. 롤링,8100,문학수첩
151,해리 포터와 비밀의 방: 슬리데린 2 (기숙사 에디션),조앤 K. 롤링,10800,문학수첩
152,해리 포터와 비밀의 방: 슬리데린 1 (기숙사 에디션),조앤 K. 롤링,10800,문학수첩
153,해리 포터와 비밀의 방: 후플푸프 1 (기숙사 에디션),조앤 K. 롤링,10800,문학수첩
154,해리 포터와 비밀의 방: 래번클로 2 (기숙사 에디션),조앤 K. 롤링,10800,문학수첩
155,해리 포터와 비밀의 방: 후플푸프 2 (기숙사 에디션),조앤 K. 롤링,10800,문학수첩
156,해리 포터와 아즈카반의 죄수 : 미나리마 에디션,J.K. 롤링,34200,문학수첩
157,Harry Potter a L’ecole DES Sorciers (해리포터 프랑스어판),J.K. 롤링,0,Gallimard
